episode,score,average score,time
63,-14.809659943084977,-79.27248792550228,2023-05-09 18:48:36.719300
64,32.36176593432921,-77.55503786612026,2023-05-09 18:48:53.272086
65,-458.2536480288181,-83.32319862616113,2023-05-09 18:49:06.764694
66,-12.5757682748524,-82.26726682987295,2023-05-09 18:49:23.976179
67,15.193092931929659,-80.83402624514055,2023-05-09 18:49:40.449577
68,-51.56618544305555,-80.40985463931324,2023-05-09 18:49:56.877870
69,-36.46971801205449,-79.78213840178097,2023-05-09 18:50:13.889842
70,-11.513645731936222,-78.8206103360085,2023-05-09 18:50:29.945105
71,38.42065271944581,-77.19225946023829,2023-05-09 18:50:47.503371
72,-50.691860502126836,-76.82924029642855,2023-05-09 18:51:04.047437
73,-45.95502963519603,-76.41202123343892,2023-05-09 18:51:20.622243
74,-20.480978598683354,-75.66627399830885,2023-05-09 18:51:37.503649
75,-59.39343909102239,-75.45215774952877,2023-05-09 18:51:55.224321
76,8.541574258054757,-74.3613300611186,2023-05-09 18:52:13.430055
77,-69.48495780763959,-74.29881246812526,2023-05-09 18:52:30.872599
78,-4.1182263955551965,-73.41045061910539,2023-05-09 18:52:47.993841
79,-51.144607127310444,-73.13212757545796,2023-05-09 18:53:06.363796
80,-54.0087444794522,-72.89603642612455,2023-05-09 18:53:24.399508
81,6.520890621687695,-71.92753731578539,2023-05-09 18:53:41.495793
82,-58.31126607699168,-71.76348585507704,2023-05-09 18:53:59.080099
83,-31.511096725183787,-71.28429074638782,2023-05-09 18:54:17.812351
84,-37.62964359052235,-70.8883537210247,2023-05-09 18:54:23.323855
85,-17.5947631319254,-70.26866080719796,2023-05-09 18:54:40.606685
86,-4.535711137025694,-69.5131096615638,2023-05-09 18:54:57.935574
87,-7.566180025654075,-68.80916727933754,2023-05-09 18:55:15.566210
88,9.360300761918687,-67.93085864966051,2023-05-09 18:55:34.473257
89,-37.97478183946448,-67.59801335176944,2023-05-09 18:55:53.960831
90,3.819892902559621,-66.81320119512847,2023-05-09 18:56:12.691924
91,-2.6528794357476237,-66.11580639339606,2023-05-09 18:56:31.681344
92,2.4574643250531616,-65.37845939642348,2023-05-09 18:56:51.101502
93,-26.751271482544684,-64.96753186542477,2023-05-09 18:57:11.066686
94,-30.265483573153674,-64.60224714655877,2023-05-09 18:57:30.735762
95,-30.772509475167755,-64.24985404581513,2023-05-09 18:57:49.801719
96,28.94356203763959,-63.28909717897538,2023-05-09 18:58:08.479795
97,-35.71306385640879,-63.007709083847146,2023-05-09 18:58:28.422239
98,-4.302883497482768,-62.414731047621245,2023-05-09 18:58:47.736699
99,-4.113177585256989,-61.831715512997604,2023-05-09 18:59:07.657291
100,13.999334252518572,-58.170637949616875,2023-05-09 18:59:27.725454
101,-23.383321726126866,-57.21503794748718,2023-05-09 18:59:47.020113
102,-12.820193037413777,-55.49383135854139,2023-05-09 19:00:07.533549
103,-37.93840346074384,-54.71764519387832,2023-05-09 19:00:28.248975
104,27.66693956350315,-52.774669420069365,2023-05-09 19:00:47.494058
105,43.94054531850922,-51.414866027773144,2023-05-09 19:01:08.625823
106,-98.82501783414013,-50.10699228990603,2023-05-09 19:01:29.196112
107,-0.6914755436042783,-48.174906224845444,2023-05-09 19:01:49.513621
108,-9.371935623482937,-48.34087294338123,2023-05-09 19:02:09.039994
109,-101.47258779512039,-48.578298677110986,2023-05-09 19:02:29.592921
110,9.54506148309373,-48.39700811316074,2023-05-09 19:02:50.705110
111,19.183210912117094,-44.363284786129604,2023-05-09 19:03:11.265328
112,-40.006790852800194,-42.27899639943134,2023-05-09 19:03:31.609686
113,17.77774111683289,-41.71118182432019,2023-05-09 19:03:52.250535
114,247.12518494882613,-37.36548768062342,2023-05-09 19:04:01.387869
115,15.16462419116127,-36.12147962023671,2023-05-09 19:04:21.738972
116,-4.768343923919901,-34.84105172680613,2023-05-09 19:04:43.336031
117,-13.015227563055166,-33.046670042125676,2023-05-09 19:05:03.638993
118,188.23817330296936,-32.60581842054668,2023-05-09 19:05:20.021617
119,218.07250250948098,-28.949104982381254,2023-05-09 19:05:31.991016
120,167.2700970507869,-25.891109772426347,2023-05-09 19:05:48.514419
121,-55.30525138617596,-26.558361686886542,2023-05-09 19:06:01.299403
122,204.43934781365732,-23.018266551931127,2023-05-09 19:06:13.092238
123,282.5028725329498,-20.06360557137407,2023-05-09 19:06:19.160077
124,-303.9327147372353,-21.97293148735396,2023-05-09 19:06:25.267325
125,251.97050052648768,-17.781609304264645,2023-05-09 19:06:34.355068
126,192.6031281029542,-13.507117729618917,2023-05-09 19:06:46.964901
127,238.70839893285142,-8.870119933083549,2023-05-09 19:06:54.276528
128,226.22555887119785,-5.749144405064465,2023-05-09 19:07:01.474826
129,256.5620448403537,-2.8857985129083557,2023-05-09 19:07:06.158134
130,235.46925541255285,-0.24578011851699272,2023-05-09 19:07:12.344832
131,254.05837258319482,4.366543400336485,2023-05-09 19:07:18.307678
132,296.5315543864582,7.175206073465265,2023-05-09 19:07:23.588097
133,241.6194263538814,10.082913592386719,2023-05-09 19:07:33.453528
134,309.9136697500435,14.652710867536882,2023-05-09 19:07:37.591993
135,241.66274976136495,17.157709679722156,2023-05-09 19:07:44.794735
136,-216.01660687973106,14.87810407940592,2023-05-09 19:07:57.908954
137,226.27793432307803,17.237265521536422,2023-05-09 19:08:05.484122
138,286.6252186625649,20.249397256223087,2023-05-09 19:08:09.957759
139,-218.2177969507562,18.13265582351685,2023-05-09 19:08:18.942354
140,216.90345645842567,20.64242313211946,2023-05-09 19:08:25.232707
141,219.46440463355964,23.220897528195756,2023-05-09 19:08:32.378842
142,250.8975050504304,25.82269506302818,2023-05-09 19:08:36.050705
143,250.72665457390644,28.539362715890384,2023-05-09 19:08:44.212583
144,174.20287751508044,30.665275638559095,2023-05-09 19:08:47.720394
145,-68.2505222031506,30.40506652284339,2023-05-09 19:08:49.135808
146,-157.8628053169366,29.081742717612116,2023-05-09 19:08:54.898736
147,202.31388164836287,31.31034215708915,2023-05-09 19:09:02.626545
148,-3.280668223436294,31.730196414560634,2023-05-09 19:09:03.998691
149,224.0232083504011,34.40310737004244,2023-05-09 19:09:10.394667
150,255.27079943276067,37.17944800196954,2023-05-09 19:09:19.599865
151,-144.98630629054713,35.98529351827725,2023-05-09 19:09:21.131380
152,190.30997621122486,38.22127062011943,2023-05-09 19:09:28.931233
153,150.2459573510611,39.57386249315637,2023-05-09 19:09:45.317177
154,221.11863787877266,41.83539891899411,2023-05-09 19:09:52.711292
155,-36.727253113084515,41.611367320586304,2023-05-09 19:09:54.247379
156,218.99698333161032,44.174092862591145,2023-05-09 19:09:59.150273
157,-285.0507956521642,41.97301063044936,2023-05-09 19:10:02.212603
158,-132.8409213438091,40.81022139471144,2023-05-09 19:10:03.668487
159,-95.34119924793333,40.11704166778782,2023-05-09 19:10:05.384761
160,-14.048497992664025,40.051375868865264,2023-05-09 19:10:06.830903
161,9.581114273537963,40.59660315185317,2023-05-09 19:10:08.678004
162,56.02885606823952,41.54541139572033,2023-05-09 19:10:12.716780
163,-46.43851143567791,41.229122880794385,2023-05-09 19:10:15.079711
164,-114.29434135389367,39.762561807912164,2023-05-09 19:10:16.625573
165,11.504305606258725,44.46014134426293,2023-05-09 19:10:19.008384
166,236.30264439806678,46.94892547099212,2023-05-09 19:10:26.482388
167,-238.75171608721587,44.40947738080068,2023-05-09 19:10:37.110542
168,233.1022566485228,47.25616180171645,2023-05-09 19:10:45.045934
169,-209.89142158294453,45.52194476600756,2023-05-09 19:10:48.661948
170,285.17771431395613,48.488858366466474,2023-05-09 19:10:52.290791
171,187.36772194779957,49.97832905875001,2023-05-09 19:10:59.343423
172,252.93966280586164,53.0146442918299,2023-05-09 19:11:06.178835
173,-276.689460927857,50.707299978903286,2023-05-09 19:11:09.087418
174,-79.96760531240685,50.11243371176607,2023-05-09 19:11:10.480297
175,177.61610630807235,52.482529165757015,2023-05-09 19:11:24.071070
176,231.97090402471034,54.71682246342357,2023-05-09 19:11:33.446397
177,227.49536605485022,57.68662570204846,2023-05-09 19:11:40.781142
178,227.67668366059053,60.004574802609916,2023-05-09 19:11:47.334816
179,186.48572186234065,62.380878092506435,2023-05-09 19:11:56.233747
180,-74.67041336545897,62.17426140364636,2023-05-09 19:11:58.125713
181,-200.10333093516232,60.10801918807786,2023-05-09 19:12:02.824838
182,-41.671113344096156,60.27442071540682,2023-05-09 19:12:04.438143
183,100.16258535282266,61.591157536186884,2023-05-09 19:12:24.864591
184,194.12115973010475,63.90866556939315,2023-05-09 19:12:35.184812
185,203.54869675392118,66.12010016825162,2023-05-09 19:12:42.144459
186,194.43476771002122,68.10980495672209,2023-05-09 19:12:50.420033
187,190.72326543581804,70.0926994113368,2023-05-09 19:12:59.861553
188,225.1417120175205,72.25051352389282,2023-05-09 19:13:08.048783
189,-33.886604417398495,72.29139529811347,2023-05-09 19:13:27.904505
190,266.5400055261826,74.91859642434972,2023-05-09 19:13:33.800518
191,215.88298464717755,77.10395506517897,2023-05-09 19:13:46.926121
192,215.81019285339636,79.23748235046239,2023-05-09 19:13:54.416715
193,-137.05175709917853,78.13447749429605,2023-05-09 19:14:01.185901
194,-267.8964696635145,75.75816763339245,2023-05-09 19:14:05.073565
195,242.09370902212808,78.4868298183654,2023-05-09 19:14:15.043362
196,-219.6528391210603,76.00086580677839,2023-05-09 19:14:18.901915
197,240.82087499787036,78.7662051953212,2023-05-09 19:14:23.559802
198,196.76365196505571,80.77687054994658,2023-05-09 19:14:32.163431
199,-37.63525101230083,80.44164981567616,2023-05-09 19:14:34.594054
200,-211.96358721789554,78.18202060097202,2023-05-09 19:14:36.967816
201,214.70738851184933,80.56292770335178,2023-05-09 19:14:48.273420
202,226.83910727227934,82.9595207064487,2023-05-09 19:14:53.862653
203,196.06300705867798,85.29953481164291,2023-05-09 19:15:06.602202
204,185.23282763703105,86.8751936923782,2023-05-09 19:15:16.467543
205,-412.34635041524587,82.31232473504066,2023-05-09 19:15:18.039247
206,-258.15388858102676,80.71903602757179,2023-05-09 19:15:19.500606
207,222.50739104900816,82.9510246934979,2023-05-09 19:15:29.066515
208,240.49070723217272,85.44965112205446,2023-05-09 19:15:33.150580
209,-111.97359196687454,85.34464108033691,2023-05-09 19:15:34.837078
210,-174.3081970671205,83.50610849483478,2023-05-09 19:15:37.672201
211,-266.2917392976867,80.65135899273673,2023-05-09 19:15:42.265198
212,272.93932956438766,83.7808201969086,2023-05-09 19:15:49.165293
213,-281.676427415789,80.78627851158238,2023-05-09 19:15:51.764316
214,-239.82919402813258,75.91673472181282,2023-05-09 19:15:55.732095
215,312.61569686696635,78.89124544857087,2023-05-09 19:15:59.149982
216,245.553844470252,81.39446733251258,2023-05-09 19:16:14.457753
217,290.56184683145597,84.43023807645768,2023-05-09 19:16:19.518853
218,-185.84529951328432,80.68940334829513,2023-05-09 19:16:22.603090
219,137.41864354566846,79.88286475865704,2023-05-09 19:16:42.204419
