episode,score,average score,time
35,-106.4505958435757,-119.22440994502075,2023-05-09 21:51:46.933360
36,-168.86949101557815,-120.56616889287366,2023-05-09 21:54:40.654904
37,138.01593070747938,-113.76137679812753,2023-05-09 21:57:26.406669
38,-79.29953728235247,-112.87773988746663,2023-05-09 21:59:21.612688
39,-1943.3281764091125,-158.63900080050774,2023-05-09 22:00:47.790607
40,-581.4336712494809,-168.95106593340952,2023-05-09 22:03:44.171988
41,190.9638366152584,-160.3816634917746,2023-05-09 22:05:04.370442
42,-152.38900832732614,-160.19578779027577,2023-05-09 22:07:34.778070
43,-40.45824110958438,-157.47447991116917,2023-05-09 22:08:09.284952
44,-352.48009736590154,-161.80793807682988,2023-05-09 22:10:34.479035
45,-74.00023676191273,-159.89907500476644,2023-05-09 22:12:40.484159
46,-200.66013769557554,-160.7663316577624,2023-05-09 22:15:40.576955
47,-584.596292088733,-169.5961225000743,2023-05-09 22:17:53.303964
48,-25.505673053430982,-166.65550108279584,2023-05-09 22:20:52.749247
49,-77.98991544473839,-164.8821893700347,2023-05-09 22:21:53.549525
50,-19.16395003471318,-162.02496899091074,2023-05-09 22:22:28.565919
51,0.7226864110909856,-158.8952063870261,2023-05-09 22:25:28.691788
52,7.349073851836295,-155.75852185421738,2023-05-09 22:28:21.299904
53,-217.8524441879869,-156.90840930484276,2023-05-09 22:31:13.982752
54,-33.62372993384641,-154.66686967991555,2023-05-09 22:34:06.187813
55,-154.54815115872583,-154.6647497063229,2023-05-09 22:36:58.628650
56,-12.384585441556744,-152.16860647360772,2023-05-09 22:39:50.595995
57,-35.545544933261326,-150.15786403325694,2023-05-09 22:42:44.124111
58,185.56891490301734,-144.46757964450654,2023-05-09 22:44:25.383970
59,-155.1325350464723,-144.64532890120597,2023-05-09 22:45:12.280037
60,-21.821710315904593,-142.63182695718461,2023-05-09 22:48:08.923559
61,-22.5648332243449,-140.69526254213883,2023-05-09 22:51:05.429672
62,-56.40069753858723,-139.35725357382847,2023-05-09 22:54:06.605362
63,-0.7042370512810476,-137.19080019066362,2023-05-09 22:57:01.172811
64,-16.878268863018647,-135.3398381702383,2023-05-09 22:57:43.504987
65,145.93963172801514,-131.07802802026478,2023-05-09 22:59:39.878045
66,9.334166670129106,-128.9823236219007,2023-05-09 23:02:31.426471
67,-35.07927654070956,-127.60139645894199,2023-05-09 23:05:23.836566
68,-43.54504165383923,-126.38318841828831,2023-05-09 23:08:18.238264
69,-51.290751337580396,-125.31043931713536,2023-05-09 23:11:10.625024
70,-20.735523355729036,-123.83755317683385,2023-05-09 23:14:05.190112
71,-17.984858317199283,-122.36737685933895,2023-05-09 23:15:19.771354
