episode,score,average score,time
97,-41.377162250065176,-35.30495460710934,2023-05-09 20:41:19.052220
98,240.79403533113629,-32.51607592086443,2023-05-09 20:41:24.839927
99,218.0080186377641,-30.010834975278144,2023-05-09 20:41:31.152073
100,50.277202808078066,-28.504391528491055,2023-05-09 20:41:46.402814
101,314.81531738212607,-24.281321160251363,2023-05-09 20:41:48.634237
102,226.4162860864105,-20.210858466930997,2023-05-09 20:41:53.535254
103,252.88085492941974,-16.860341790754433,2023-05-09 20:41:58.197560
104,145.59292329745205,-12.530809531812327,2023-05-09 20:42:09.196015
105,204.26905947855172,-8.627652366536186,2023-05-09 20:42:18.700637
106,-177.60598186203015,-8.772290950261606,2023-05-09 20:42:24.876505
107,220.50830579952827,-5.347646650592826,2023-05-09 20:42:31.463684
108,-245.56668820145822,-6.591396421894363,2023-05-09 20:42:40.119439
109,79.06567591536972,-4.3206501169700084,2023-05-09 20:42:54.475473
110,232.34592976038982,-1.2723626412782039,2023-05-09 20:42:59.703553
111,231.98157153954313,1.5877366771386634,2023-05-09 20:43:06.876486
112,237.63095042612878,4.511933536399292,2023-05-09 20:43:11.204154
113,229.66318376783167,7.516318562216737,2023-05-09 20:43:16.794645
114,200.47320050429255,11.304742527950557,2023-05-09 20:43:26.780646
115,249.52665173025335,14.458596964399481,2023-05-09 20:43:31.127725
116,2.166167960589685,14.67289057334517,2023-05-09 20:43:46.134253
117,253.96348939923635,19.372580828729795,2023-05-09 20:43:51.939014
118,235.66675889682375,22.827392862349782,2023-05-09 20:43:59.735255
119,213.3121185306444,26.27866845046733,2023-05-09 20:44:06.649310
120,166.4355556236423,28.051257732732164,2023-05-09 20:44:17.002070
121,214.82123637035704,28.506726703487125,2023-05-09 20:44:23.671576
122,238.7206349560943,31.458585104939132,2023-05-09 20:44:27.320996
123,221.7149369993487,32.97225659082075,2023-05-09 20:44:37.122117
124,221.9407751201707,33.48646716327413,2023-05-09 20:44:42.895831
125,216.85517879248897,36.11870993128466,2023-05-09 20:44:50.563076
126,264.1950043745956,39.39692209665761,2023-05-09 20:44:54.179332
127,-22.211363773761647,39.70206774687474,2023-05-09 20:44:55.232426
128,276.3297434463838,42.71977071219661,2023-05-09 20:44:57.987791
129,234.38246838773514,45.69827304874143,2023-05-09 20:45:02.332321
130,240.6852788374535,49.58996021028873,2023-05-09 20:45:08.729489
131,279.536976485231,53.4856238478967,2023-05-09 20:45:13.909724
132,216.0392448737074,56.021845971631556,2023-05-09 20:45:22.936838
