episode,score,average score,time
86,-92.95509377084738,-99.64956555337139,2023-05-10 11:47:32.617422
87,-37.71164123667207,-98.94572550431795,2023-05-10 11:50:33.919471
88,-80.39341738892516,-98.73727260414499,2023-05-10 11:53:36.871622
89,-62.04837496955056,-98.32961818598284,2023-05-10 11:56:39.785938
90,-81.50723470284586,-98.14475682902528,2023-05-10 11:59:41.665977
91,-38.64831915895113,-97.49805641956794,2023-05-10 12:02:44.515637
92,-97.0840281999942,-97.49360450322844,2023-05-10 12:05:47.697652
93,-68.17100431970063,-97.18166194808451,2023-05-10 12:08:49.560295
94,-99.0350161835089,-97.20117094003635,2023-05-10 12:11:51.766250
95,-83.32529901682615,-97.05663060750295,2023-05-10 12:14:55.677633
96,-50.40393417068797,-96.57567497413373,2023-05-10 12:17:59.418005
97,-81.26961871896779,-96.41949072663205,2023-05-10 12:21:01.047016
98,-58.258700527073636,-96.03402819936379,2023-05-10 12:24:04.689182
99,-53.0512236928135,-95.60420015429828,2023-05-10 12:27:08.327696
100,-32.106582075807815,-93.0594039438137,2023-05-10 12:30:13.544074
101,-79.10615578139841,-92.29834848399103,2023-05-10 12:33:17.055302
102,-40.87836930051369,-91.59289459072001,2023-05-10 12:36:20.205679
103,-78.38704177099797,-90.02571859255451,2023-05-10 12:39:24.300408
104,-41.109826314880856,-89.4562024484833,2023-05-10 12:42:28.101343
105,-56.26202498349818,-88.95336405127395,2023-05-10 12:45:33.058537
106,-86.24375116503407,-88.8889762245939,2023-05-10 12:48:35.359792
107,-177.74551476751333,-89.97142964776529,2023-05-10 12:49:20.588967
108,-70.29463631708865,-88.93805372393663,2023-05-10 12:52:24.958338
109,-24.167957278470773,-88.328436691871,2023-05-10 12:55:29.016137
110,-65.93815585753916,-88.13915769677203,2023-05-10 12:58:32.155220
111,-37.06991124115932,-87.21238188266052,2023-05-10 13:01:35.924053
112,-19.015158574456123,-86.8235622264973,2023-05-10 13:04:38.349296
113,-62.52146542688158,-86.40328233917566,2023-05-10 13:07:40.472787
114,-51.24873348827553,-85.36431604787735,2023-05-10 13:09:59.329050
115,-29.890200352750202,-83.4946967070859,2023-05-10 13:13:04.803903
116,-82.22676464122594,-82.59874805666927,2023-05-10 13:16:09.596889
117,-54.09675861134477,-83.0857091834444,2023-05-10 13:19:12.728689
118,-37.645157325728306,-82.45876870225045,2023-05-10 13:22:18.440098
